Country,Advisory Level
Turkey,Level 2: Exercise Increased Caution
The Gambia,Level 2: Exercise Increased Caution
Egypt,Level 3: Reconsider Travel
Canada,Level 1: Exercise Normal Precautions
Rwanda,Level 3: Reconsider Travel
Mexico,Level 3: Reconsider Travel
Republic of the Congo,Level 2: Exercise Increased Caution
Sri Lanka,Level 2: Exercise Increased Caution
Lebanon,Level 4: Do Not Travel
Uzbekistan,Level 1: Exercise Normal Precautions
Algeria,Level 2: Exercise Increased Caution
Sao Tome and Principe,Level 1: Exercise Normal Precautions
Venezuela,Level 4: Do Not Travel
Panama,Level 2: Exercise Increased Caution
Sierra Leone,Level 2: Exercise Increased Caution
Cabo Verde,Level 1: Exercise Normal Precautions
Angola,Level 2: Exercise Increased Caution
Argentina,Level 1: Exercise Normal Precautions
Moldova,Level 2: Exercise Increased Caution
Haiti,Level 4: Do Not Travel
Lesotho,Level 2: Exercise Increased Caution
Kingdom of Denmark,Level 2: Exercise Increased Caution
Italy,Level 2: Exercise Increased Caution
Jordan,Level 2: Exercise Increased Caution
Guyana,Level 3: Reconsider Travel
Bangladesh,Level 3: Reconsider Travel
Pakistan,Level 3: Reconsider Travel
Bahrain,Level 2: Exercise Increased Caution
Saudi Arabia,Level 2: Exercise Increased Caution
United Kingdom,Level 2: Exercise Increased Caution
Tanzania,Level 2: Exercise Increased Caution
Cayman Islands,Level 1: Exercise Normal Precautions
Seychelles,Level 1: Exercise Normal Precautions
Mauritius,Level 1: Exercise Normal Precautions
Ireland,Level 1: Exercise Normal Precautions
Latvia,Level 1: Exercise Normal Precautions
Austria,Level 1: Exercise Normal Precautions
Saint Lucia,Level 1: Exercise Normal Precautions
Saint Kitts and Nevis,Level 1: Exercise Normal Precautions
Montserrat,Level 1: Exercise Normal Precautions
French West Indies,Level 1: Exercise Normal Precautions
Dominica,Level 1: Exercise Normal Precautions
British Virgin Islands,Level 1: Exercise Normal Precautions
Barbados,Level 1: Exercise Normal Precautions
Antigua and Barbuda,Level 1: Exercise Normal Precautions
Anguilla,Level 1: Exercise Normal Precautions
Iceland,Level 1: Exercise Normal Precautions
Hungary,Level 1: Exercise Normal Precautions
Sint Maarten,Level 1: Exercise Normal Precautions
Curaçao,Level 1: Exercise Normal Precautions
Saba,Level 1: Exercise Normal Precautions
Sint Eustatius,Level 1: Exercise Normal Precautions
Aruba,Level 1: Exercise Normal Precautions
Bonaire,Level 1: Exercise Normal Precautions
Romania,Level 1: Exercise Normal Precautions
Bulgaria,Level 1: Exercise Normal Precautions
Greece,Level 1: Exercise Normal Precautions
Croatia,Level 1: Exercise Normal Precautions
Iran,Level 4: Do Not Travel
Lithuania,Level 1: Exercise Normal Precautions
Netherlands,Level 2: Exercise Increased Caution
Finland,Level 1: Exercise Normal Precautions
Palau,Level 1: Exercise Normal Precautions
Kazakhstan,Level 1: Exercise Normal Precautions
Kenya,Level 2: Exercise Increased Caution
Libya,Level 4: Do Not Travel
See Individual Summaries -,
Guinea-Bissau,Level 3: Reconsider Travel
Taiwan,Level 1: Exercise Normal Precautions
Afghanistan,Level 4: Do Not Travel
Slovenia,Level 1: Exercise Normal Precautions
Jamaica,Level 3: Reconsider Travel
Sweden,Level 2: Exercise Increased Caution
Malaysia,Level 1: Exercise Normal Precautions
India,Level 2: Exercise Increased Caution
Somalia,Level 4: Do Not Travel
Estonia,Level 1: Exercise Normal Precautions
Luxembourg,Level 1: Exercise Normal Precautions
Maldives,Level 2: Exercise Increased Caution
Yemen,Level 4: Do Not Travel
Syria,Level 4: Do Not Travel
Democratic Republic of the Congo,Level 3: Reconsider Travel
Worldwide Caution,Caution
Trinidad and Tobago,Level 3: Reconsider Travel
Eswatini,Level 2: Exercise Increased Caution
Russia,Level 4: Do Not Travel
Bhutan,Level 1: Exercise Normal Precautions
Dominican Republic,Level 2: Exercise Increased Caution
Bolivia,Level 2: Exercise Increased Caution
Burma (Myanmar),Level 4: Do Not Travel
New Caledonia,Level 3: Reconsider Travel
Antarctica,Level 2: Exercise Increased Caution
Marshall Islands,Level 1: Exercise Normal Precautions
Comoros,Level 2: Exercise Increased Caution
Benin,Level 2: Exercise Increased Caution
Philippines,Level 2: Exercise Increased Caution
Tunisia,Level 2: Exercise Increased Caution
Poland,Level 1: Exercise Normal Precautions
Germany,Level 2: Exercise Increased Caution
Iraq,Level 4: Do Not Travel
"Mainland China, Hong Kong and Macau",Level 3: Reconsider Travel
Ecuador,Level 2: Exercise Increased Caution
Macau,Level 3: Reconsider Travel
Hong Kong,Level 2: Exercise Increased Caution
Armenia,Level 2: Exercise Increased Caution
Cote d Ivoire,Level 2: Exercise Increased Caution
Equatorial Guinea,Level 2: Exercise Increased Caution
Colombia,Level 3: Reconsider Travel
Papua New Guinea,Level 3: Reconsider Travel
Kyrgyzstan,Level 1: Exercise Normal Precautions
Paraguay,Level 1: Exercise Normal Precautions
Belize,Level 2: Exercise Increased Caution
Botswana,Level 2: Exercise Increased Caution
South Africa,Level 2: Exercise Increased Caution
The Bahamas,Level 2: Exercise Increased Caution
Turkmenistan,Level 1: Exercise Normal Precautions
Nicaragua,Level 3: Reconsider Travel
Honduras,Level 3: Reconsider Travel
Guatemala,Level 3: Reconsider Travel
Gabon,Level 2: Exercise Increased Caution
Fiji,Level 1: Exercise Normal Precautions
Ethiopia,Level 3: Reconsider Travel
Eritrea,Level 2: Exercise Increased Caution
Djibouti,Level 2: Exercise Increased Caution
Cuba,Level 2: Exercise Increased Caution
Central African Republic,Level 4: Do Not Travel
Cameroon,Level 2: Exercise Increased Caution
Cambodia,Level 1: Exercise Normal Precautions
Burundi,Level 3: Reconsider Travel
Brunei,Level 1: Exercise Normal Precautions
Costa Rica,Level 2: Exercise Increased Caution
Brazil,Level 2: Exercise Increased Caution
Australia,Level 1: Exercise Normal Precautions
Belarus,Level 4: Do Not Travel
Niger,Level 3: Reconsider Travel
Japan,Level 1: Exercise Normal Precautions
Uganda,Level 3: Reconsider Travel
Guinea,Level 3: Reconsider Travel
Nepal,Level 2: Exercise Increased Caution
Azerbaijan,Level 2: Exercise Increased Caution
Tajikistan,Level 2: Exercise Increased Caution
Namibia,Level 2: Exercise Increased Caution
Ghana,Level 2: Exercise Increased Caution
Peru,Level 2: Exercise Increased Caution
Malawi,Level 2: Exercise Increased Caution
Nigeria,Level 3: Reconsider Travel
New Zealand,Level 1: Exercise Normal Precautions
Kiribati,Level 1: Exercise Normal Precautions
Tuvalu,Level 1: Exercise Normal Precautions
Zambia,Level 1: Exercise Normal Precautions
Togo,Level 1: Exercise Normal Precautions
South Sudan,Level 4: Do Not Travel
Senegal,Level 1: Exercise Normal Precautions
Mozambique,Level 2: Exercise Increased Caution
Mauritania,Level 3: Reconsider Travel
Mali,Level 4: Do Not Travel
Madagascar,Level 2: Exercise Increased Caution
Liberia,Level 2: Exercise Increased Caution
Chad,Level 3: Reconsider Travel
Burkina Faso,Level 4: Do Not Travel
Switzerland,Level 1: Exercise Normal Precautions
Spain,Level 2: Exercise Increased Caution
Slovakia,Level 1: Exercise Normal Precautions
Serbia,Level 2: Exercise Increased Caution
Portugal,Level 1: Exercise Normal Precautions
Norway,Level 1: Exercise Normal Precautions
North Macedonia,Level 1: Exercise Normal Precautions
Montenegro,Level 1: Exercise Normal Precautions
Kosovo,Level 2: Exercise Increased Caution
Malta,Level 1: Exercise Normal Precautions
Liechtenstein,Level 1: Exercise Normal Precautions
Georgia,Level 1: Exercise Normal Precautions
France,Level 2: Exercise Increased Caution
Czech Republic,Level 1: Exercise Normal Precautions
Cyprus,Level 1: Exercise Normal Precautions
Bosnia and Herzegovina,Level 2: Exercise Increased Caution
Belgium,Level 2: Exercise Increased Caution
Andorra,Level 1: Exercise Normal Precautions
Albania,Level 2: Exercise Increased Caution
Vietnam,Level 1: Exercise Normal Precautions
Vanuatu,Level 1: Exercise Normal Precautions
Tonga,Level 1: Exercise Normal Precautions
Timor-Leste,Level 2: Exercise Increased Caution
Thailand,Level 1: Exercise Normal Precautions
South Korea,Level 1: Exercise Normal Precautions
Solomon Islands,Level 2: Exercise Increased Caution
Singapore,Level 1: Exercise Normal Precautions
Samoa,Level 1: Exercise Normal Precautions
Mongolia,Level 1: Exercise Normal Precautions
Micronesia,Level 1: Exercise Normal Precautions
North Korea,Level 4: Do Not Travel
Laos,Level 2: Exercise Increased Caution
Nauru,Level 1: Exercise Normal Precautions
Indonesia,Level 2: Exercise Increased Caution
French Polynesia,Level 1: Exercise Normal Precautions
El Salvador,Level 3: Reconsider Travel
Turks and Caicos Islands,Level 2: Exercise Increased Caution
Uruguay,Level 2: Exercise Increased Caution
Suriname,Level 1: Exercise Normal Precautions
Saint Vincent and the Grenadines,Level 1: Exercise Normal Precautions
Chile,Level 2: Exercise Increased Caution
Bermuda,Level 1: Exercise Normal Precautions
Grenada,Level 1: Exercise Normal Precautions
French Guiana,Level 1: Exercise Normal Precautions
Kuwait,Level 1: Exercise Normal Precautions
Morocco,Level 2: Exercise Increased Caution
Oman,Level 2: Exercise Increased Caution
Qatar,Level 1: Exercise Normal Precautions
United Arab Emirates,Level 2: Exercise Increased Caution
Zimbabwe,Level 2: Exercise Increased Caution
Ukraine,Level 4: Do Not Travel
Sudan,Level 4: Do Not Travel
